tract_number,total_population,over_65,median_income,housing_density,percent_vacant_units,Percent_white,Percent_Black,Percent_Native,Percent_Asian,Percent_Hawaiian_and_Pacific_Islander,Percent_Other_Race,percent_two_races,percent_hispanic,percent_not_hispanic
6067000100,4037,20,115160,2.25,1.84,81,1.5,1,3.9,0,4.4,8.3,15.7,84.3
6067000200,3707,17.8,125735,2.02,8.11,81,1.4,0,5.1,0,2.7,9.8,15.2,84.8
6067000300,3502,18.6,118438,2.25,0.64,83.1,1.3,0,4,3.3,1.9,6.5,11.3,88.7
6067000400,3862,12.6,90176,1.71,3.4,68.7,3.2,0.1,3.7,0,11.3,13,30.7,69.3
6067000501,2125,11.6,49688,1.88,7.6,48.8,5.1,0.5,8.4,0,16.8,20.4,29.3,70.7
6067000502,1572,5.9,84799,1.39,11.55,63.6,6.2,0.6,7.4,0.3,13.2,8.7,26.3,73.7
6067000600,1315,13.2,36071,1.64,6.48,69.7,3.6,0.3,10.8,0.5,5.9,9.4,19.7,80.3
6067000700,2866,20.6,12903,4.07,12.36,39.1,32.4,1.2,16.2,0.9,8,2.2,14.9,85.1
6067000800,1746,25.5,54826,1.31,17.7,79.2,7,3.4,3,0,2.7,4.8,17.1,82.9
6067001102,1448,10.8,52027,1.43,10.74,60.7,4.1,1.2,7.8,0,10.2,15.9,33,67
6067001103,1372,7.4,38424,1.24,12.49,59.4,20.4,0,7.1,1.3,4.4,7.4,18,82
6067001201,1852,10.2,58878,1.32,8.8,70.1,3,1.3,13,1.4,3.3,7.8,12.7,87.3
6067001202,2124,10.5,59125,1.24,3.26,58,14.5,0,12.4,0,10.5,4.6,29.2,70.8
6067001300,3376,8.1,55932,1.45,3.1,77.8,1.7,0,5.6,0.4,6,8.6,19.3,80.7
6067001400,2458,21.4,57116,1.28,6.24,71.4,5.3,0.4,5,1.1,5,11.7,21.4,78.6
6067001500,4860,21.1,115347,1.92,1.66,84.3,1.8,0.5,4.5,0,2.8,6.1,11,89
6067001601,3595,10.6,92045,2.04,14.55,71.7,1.6,0.2,5.7,0,5.7,15,27.6,72.4
6067001602,2401,19,142589,1.95,9.33,82.7,0.6,0,7.9,0,0,8.8,16.6,83.4
6067001701,1897,7.7,0,2.02,3.31,64.4,1.7,0,20.8,0,7.4,5.6,32.5,67.5
6067001702,3532,30.5,60522,1.71,0,78.5,2.1,0.4,7.4,0,3.5,8,8.8,91.2
6067001800,5616,7.9,56215,2.04,2.36,50.5,12.4,1,11.7,1,15.7,7.7,25.2,74.8
6067001900,3208,13.8,60976,1.69,6.95,74.9,2.2,0.5,10.1,0,4.5,7.8,20.3,79.7
6067002000,2736,9.8,83170,1.66,8.25,59.6,2.9,0.3,17.9,0.1,8.6,10.5,26.5,73.5
6067002100,2313,8,59784,1.73,15.11,46.4,8.2,1.9,20.8,6.3,5.5,11,23.7,76.3
6067002200,5079,9,89773,2.27,7.6,44.2,7.8,3.3,12.4,13.3,5.4,13.6,28.4,71.6
6067002300,3514,19.2,130724,1.91,4.28,83,1.3,0,3.1,0,2.2,10.4,16,84
6067002400,5110,19.1,147891,2.51,1.86,72.8,2.2,0.1,2.5,0,3.8,18.6,23.7,76.3
6067002500,1840,26.7,132321,1.97,4.4,77.4,3.4,0,4.8,0,5.7,8.6,15.4,84.6
6067002600,2566,20.3,96875,1.8,7.5,73.2,5.4,0.8,6.9,0.4,1.1,12.1,16.5,83.5
6067002700,3714,7.5,56824,2.22,4.97,46.6,13.2,3.8,8.1,0,13.6,14.7,26.4,73.6
6067002800,3577,11.4,53362,2.74,6.35,35.3,23.9,4.8,3.3,0,12.9,19.7,36.6,63.4
6067002900,5356,13.9,73821,2.14,0.84,76.7,3,0,4.9,0,6,9.4,22.2,77.8
6067003001,2863,11.9,41956,2.4,3.85,53.5,14.9,0,6.2,4.1,4.9,16.4,33.1,66.9
6067003002,3912,15.9,71615,2,1.48,70.3,4,0.4,2,1.2,13,9,24.7,75.3
6067003101,3503,7,66803,2.82,3.22,48.3,4.1,0.5,5.5,0.6,10,31,58.7,41.3
6067003102,3097,10,77837,3.04,5.4,55.4,11.5,0,6.7,0.3,12.7,13.4,52.1,47.9
6067003202,5004,13.2,50945,2.85,5.24,27.3,2.4,2.5,29.7,0,25.7,12.4,46.4,53.6
6067003203,3146,11.9,53098,4.21,5.09,18.9,4.5,0.7,53.7,6.4,11.6,4.2,25.7,74.3
6067003204,5258,8.6,43739,3.51,9.75,26.2,5.8,1.1,37.6,0,24.5,4.7,38.9,61.1
6067003300,4720,19.5,96563,2.4,3,69.9,3.4,1.2,10.5,0,3.6,11.4,21.3,78.8
6067003400,4353,23.8,62131,2.17,5.14,46.3,6.5,0.2,13.7,0.9,13.1,19.4,33.5,66.5
6067003501,2522,19.9,65841,1.76,2.59,63.5,6.7,0.1,8.9,0.8,7.1,13,30.1,69.9
6067003502,2704,23.2,75079,2.11,6.48,61.4,3.6,0.1,22.2,0,7.3,5.5,25.4,74.6
6067003600,2561,11.9,57596,2.51,8.23,49.7,5.9,0,8.2,0,30.9,5.3,49.7,50.3
6067003700,4615,11.9,48885,3.07,6.13,24,14.8,1.3,16.4,2.6,29.1,11.9,48.6,51.4
6067003800,6035,11.7,74211,3.31,3.46,24,22.2,0,16.2,0.6,18,19,39.7,60.3
6067003900,3592,20.4,73474,2.01,5.44,45.5,6.7,0.2,18.1,1.5,10.1,17.9,31.2,68.8
6067004005,4413,35.5,83478,2.11,3.83,45.3,14.1,0.2,25.4,1.3,2.7,11.1,16.1,83.9
6067004006,5690,16.3,72017,2.19,2.85,30.4,18.4,0,30.7,0,15.8,4.7,23,77
6067004008,3296,22.1,88750,2.34,0,42.4,8.6,0,24.5,0,9.9,14.6,18.4,81.6
6067004011,3240,17.7,139637,2.23,1.86,37.2,9,0.2,42.7,0.6,4.6,5.8,9.9,90.1
6067004012,3888,20.7,132794,2.63,0.74,37.1,14.8,0.6,27.8,0,2,17.6,21,79
6067004013,3667,22.7,87946,2.26,9,29.3,26.1,0,21.6,0,7.3,15.6,29.5,70.5
6067004014,2493,12.6,58868,2.08,5.59,39.4,17.9,2.5,17.1,0.5,15,7.6,27,73
6067004015,3554,32.5,80710,1.83,8.41,42,7.4,0,34.7,0,10.6,5.3,19.4,80.6
6067004016,1794,19.5,82244,2.27,0,63.3,5.3,0,16.3,0,4.2,10.9,10.2,89.8
6067004017,2648,17.1,87788,1.89,11.37,38.4,15.3,0,26,0,8.2,12.1,23.6,76.4
6067004018,3108,11.9,89405,2.61,0,28.2,13.1,0.2,29,0,5.2,24.3,31.5,68.5
6067004019,3134,21,89526,2.31,6.62,35.3,18.5,0,23.1,0,10.9,12.1,17,83
6067004020,2572,15.9,60250,2.01,5.71,30.7,28.6,0.6,18.6,2.1,11.5,7.9,21.8,78.2
6067004100,5239,13.5,51953,2.95,6.81,16,29.1,1.8,18.7,2.8,19.3,12.4,29.1,70.9
6067004201,6013,15,72231,3.11,6.2,32.9,19.6,0.7,17.9,0.3,19.1,9.5,42.2,57.8
6067004202,5700,19.6,55043,3.15,1.33,31.3,26.9,0.6,17.7,3.6,14.7,5.2,37.1,62.9
6067004203,6122,11.9,41104,3.34,3.17,25.6,18.6,0,20.8,6.6,15.9,12.5,36.3,63.7
6067004301,6506,7.7,77097,4.45,0,14.4,22.9,0.6,39.5,3.3,4.5,14.8,21,79
6067004302,4831,16.1,58293,4.26,0,13.5,11.4,1,44.8,2.3,16.7,10.2,27.5,72.5
6067004401,4046,18.8,46732,2.53,8.3,34.5,28,0.8,17.4,0.2,11.7,7.3,36.7,63.3
6067004402,4076,14.1,52596,2.87,6.9,29,15.3,0.9,21.3,0,25.8,7.7,41.2,58.8
6067004501,3797,6.8,39653,3.34,9.59,20.5,6.8,0.4,32.4,0,33,6.8,49.2,50.8
6067004502,5258,10.5,43434,3.12,5.93,25.2,19.5,0.8,18.8,1.7,26.2,7.8,45.7,54.3
6067004602,5637,9.9,47201,3.07,4.13,35.5,3.9,2.3,10.7,3.8,29.1,14.7,52.4,47.6
6067004603,2864,11.2,42995,2.78,0,20.3,14,1.7,28.7,0.4,10.9,24,40.8,59.2
6067004604,4968,14.9,43686,3.13,4.35,26.5,19.8,0.4,22.5,2.6,15.7,12.4,40.5,59.5
6067004701,3947,10.2,43295,3.35,7.14,16.5,10.7,0.3,20,2.3,20.5,29.7,44.2,55.8
6067004702,4778,13.4,48415,2.97,3.97,30.7,19.2,1.8,24.8,0.7,17.3,5.6,34.6,65.4
6067004801,6000,16.5,52762,3.57,3.68,13.9,6.1,1.8,58.2,2.3,13.9,3.8,21,79
6067004802,5515,9.9,46698,3.51,1.21,22.1,10.6,0,36.8,3.4,19.1,8,30.8,69.2
6067004904,6126,11.7,60727,2.96,7.92,30.2,13.1,3.4,19.6,0.3,20.9,12.6,41.4,58.6
6067004906,3588,13.5,56635,3.6,1.1,17.4,21.3,0,17.4,7.4,20.6,15.9,37.1,62.9
6067004907,2316,4,30539,2.9,10.64,22.4,22.4,0,23.5,0.9,0.9,29.9,14.6,85.4
6067004908,4970,13.5,68165,3.71,1.42,26.2,19.2,0.3,21.1,8.2,14.5,10.4,36.6,63.4
6067004909,2550,17.3,38897,2.77,9.34,11.4,29.3,0.4,26.7,3.1,24.2,4.8,31,69
6067004910,4690,13.5,56699,3.82,2.52,22.2,7.2,1.7,27.8,9.7,14.8,16.7,41.5,58.5
6067005002,7916,12.3,40092,2.94,11.68,16.2,10.2,0.2,19.5,0,46.1,7.8,52.8,47.2
6067005003,4203,19.9,59205,2.79,4.45,35.3,8.2,1.4,40.1,1.6,8.7,4.7,27,73
6067005004,4479,11,86367,4.35,6.89,15.5,3.8,1,44.6,6.3,4.8,24,38,62
6067005101,5030,11,51848,3.83,2.36,20.5,13.2,0.1,31.7,15.7,17.5,1.3,26.8,73.2
6067005102,4674,15.8,62897,2.87,7.81,40.1,10.2,0.8,25.5,0.3,7.6,15.6,28.6,71.4
6067005201,3725,0.8,30093,3.95,14.53,49.9,15.5,0.5,11,0.8,15.8,6.6,36.6,63.4
6067005202,3681,16.8,89250,2.3,3.68,63.7,5.2,0.3,9,0,5.3,16.5,23.9,76.1
6067005204,4634,21.1,81484,2.29,5.77,62,10.8,0.8,6.2,0,8,12.2,17.5,82.5
6067005205,3301,16,48817,2.36,3.43,71.8,4.4,0,10,0,7.5,6.3,44.2,55.8
6067005301,1697,8.1,30969,2.33,7.41,40.5,33.3,0.5,7.4,0,9.6,8.7,19.6,80.4
6067005402,2604,24.1,55326,1.49,12.33,54.9,8.5,2.2,14.3,0,10.6,9.5,22.6,77.4
6067005403,2263,39.9,79524,1.64,4.87,66.2,2.9,0,11.1,0,18,1.8,20.6,79.4
6067005404,5923,30.9,100750,1.98,7.18,80.4,1.5,0.8,3.2,0,2.5,11.6,10.8,89.2
6067005502,5820,10,42393,2.63,5.73,34.1,16.7,0.6,7.4,0,31.4,9.9,45.6,54.4
6067005505,5134,12.6,42532,2.18,3.66,42.2,12.5,0,16.2,0.7,16,12.4,31.2,68.8
6067005506,4161,3.9,42072,2.96,4.84,25.5,17.2,0,10.5,0,38,8.7,44.8,55.2
6067005508,4032,13.1,46128,1.98,2.06,50.2,13.5,0.7,18.3,0,11.8,5.4,17.3,82.7
6067005509,2242,3.7,48942,2.19,5.56,43.4,25.3,0.2,15,0.2,9.5,6.3,23.3,76.7
6067005510,5577,9,48513,2.23,5.2,48.1,16.5,0.6,8.5,0,12.2,14.1,30,70
6067005601,6939,18.5,58821,2.6,1.54,42.1,11,0.3,18.5,5.2,8.5,14.4,12.8,87.2
6067005605,3784,7.5,70114,2.68,6.23,48.1,12.3,0.9,17.7,0,11.8,9,24.4,75.6
6067005606,4802,14.2,72019,2.43,6.08,61.4,3.8,0.6,10.3,0,13.6,10.3,26.1,73.9
6067005701,3860,18.5,101786,2.7,0.56,70.3,7.3,0,5.3,0,2.9,14.2,11,89
6067005702,4671,19.5,172171,2.61,3.8,87.7,0.5,0,4.4,0.2,2.2,5,8.9,91.1
6067005801,5494,17.7,88184,2.33,1.83,79.3,3.5,0,6.8,1.1,1.3,8,18.6,81.4
6067005803,3767,29.7,127500,2.44,5.58,78.1,0.6,0,12.2,0.3,1,7.8,7.9,92.1
6067005804,2418,29.1,133750,2.18,9.81,72.2,0,1.8,12.4,0,4.5,9.1,12.2,87.8
6067005901,6796,32.4,100804,2.5,0,77.2,5.4,0.8,8,0,2.1,6.4,9.8,90.2
6067005903,2790,8.9,44177,2.1,0,55.3,17.6,1.5,7.8,0,3,14.9,10.4,89.6
6067005904,5291,25.5,97865,2.42,3.75,72.1,4.9,0.6,16.6,0,2.2,3.5,13.5,86.5
6067006002,5133,16.5,44557,2.33,0,70.6,7.1,1.2,4,1,8.4,7.7,12,88
6067006003,4762,14,55500,2.34,4.92,55.9,11,0,7.3,1.2,14.7,9.8,21.7,78.3
6067006004,2482,21.6,100764,2.17,3.15,79.5,2.5,1,1.2,0,6.9,9,16.4,83.6
6067006101,4801,14.6,34294,2.19,2.51,58.3,5.5,0,15.4,0,15,5.8,17.5,82.5
6067006102,3914,17.5,40797,1.81,11.53,55.2,7.3,0.3,20.1,0,7,10,22.9,77.1
6067006202,4042,12.3,38394,2.29,6.45,36,14.2,1.5,4.6,0,21.4,22.3,40.8,59.2
6067006203,3994,10.9,31690,2.74,3.77,27,11.4,0.1,31.9,0,20.3,9.3,32.9,67.1
6067006204,3695,8.9,47946,2.52,2.25,28.6,11.7,1.5,23,0,25.7,9.5,30.9,69.1
6067006300,5086,10.7,41983,2.95,3.01,50.9,10.6,1.4,4.3,0,20.9,12,38.2,61.8
6067006400,5458,8.1,56036,2.98,4.97,47,10.4,1.7,10.6,1.9,18.8,9.7,43.1,56.9
6067006501,4371,10.6,22188,2.77,10.65,16.2,33.2,0.8,11.1,4.7,18.1,16.1,37.5,62.5
6067006502,2538,8.4,110179,3.51,11.2,25.9,6.4,0.4,40.1,10.3,13.1,3.7,15.7,84.3
6067006600,7557,8.9,51977,2.9,4.38,33.6,14.6,1.8,9.1,3.5,23.9,13.5,39.8,60.2
6067006703,5644,2.7,47169,3.84,7.42,17.4,20.1,0.1,16.8,4.7,26.2,14.8,34.3,65.7
6067006704,3849,21.3,49868,3.67,0,29,18.7,1.1,26.4,1.2,18.4,5.1,36.7,63.3
6067006705,5426,10.9,50750,3.65,2.22,34.3,19.1,0,16.1,1.6,8.3,20.6,20,80
6067006706,3318,8.5,55903,3.61,9.89,29.9,8.9,0.7,26.5,0.3,15.3,18.4,40.6,59.4
6067006801,1415,3.7,0,2.59,19.38,8.9,13.9,18.5,5,0,29.5,24.1,49.5,50.5
6067006802,1948,8.8,27313,2.07,14.77,54.3,8.1,0,5.6,0,30,2,46.1,53.9
6067006803,3693,2.1,57986,4.16,0,17.6,15.4,0,14.1,0,33.8,19.1,50.8,49.2
6067006901,1425,20.8,49420,1.71,1.8,70.4,4.4,0,0,0,14.2,10.9,30.3,69.7
6067006902,3511,10.3,19680,2.33,7.36,44.2,18.2,2.6,10.3,0,20.5,4.2,38.3,61.7
6067007001,4513,9,55197,3.09,5.54,32.1,7,5.5,10.8,0,32.7,11.9,64.9,35.1
6067007007,5933,13.6,75391,3.18,3.65,26.8,13.9,1.1,6.3,0.7,37,14.3,58.1,41.9
6067007010,4199,8.4,74132,1.78,5.72,45.5,17,0,19.1,3.9,4.5,10,13.9,86.1
6067007011,6873,7.8,58393,2.5,2.15,35.4,15,0.5,15.1,3.3,22.8,7.9,37.7,62.3
6067007012,3715,11,74397,2.45,0.59,44.5,18.2,0,3.6,0.2,12.2,21.3,42.4,57.6
6067007013,3001,8.5,82795,2.76,2.48,27.2,12.1,0.4,23.3,2.7,19.2,15.2,36.9,63.1
6067007016,5384,13.4,71875,3.01,4.97,39.3,11.6,1.4,37.8,0,3.9,6,17.1,82.9
6067007017,3519,8.8,104531,2.92,1.91,31.8,14.3,0.3,28.7,0.8,16.1,8,26.2,73.8
6067007019,2382,4.8,40938,3.51,0.88,20.1,35.6,0.3,22,0,10.5,11.5,21.9,78.1
6067007020,4700,9.1,132772,2.5,1.86,53.7,9.1,1.4,8.6,0.9,12.7,13.7,22.1,77.9
6067007021,4759,8.3,59819,2.67,5.77,41.2,19.1,0.1,11.9,0.8,24.5,2.4,50.7,49.3
6067007022,3240,6.3,44156,2.41,3.05,33.3,26.3,1.1,15.9,0,11.3,12.1,32.7,67.3
6067007023,4695,14.4,67754,2.51,5.25,41.9,14.6,0.1,10.1,0.8,17.1,15.5,39.8,60.2
6067007024,2041,8.3,69754,2.24,14.62,52.1,11.9,0,10.8,0,16.6,8.7,34.2,65.8
6067007025,2989,9.3,90625,2.32,0,50.5,11.2,0,26.9,0,0.3,11.1,22.6,77.4
6067007026,5285,17.2,117308,2.67,3.9,37.6,12,0.9,32.6,0,6,10.9,20.7,79.3
6067007027,2465,5.4,85726,2.49,0,25.1,17,0,49.3,0,1.9,6.8,4.1,95.9
6067007028,4283,10.9,103975,2.75,2.7,24.6,14.7,0,34.9,0,5.3,20.4,31.9,68.1
6067007101,326,5.8,165952,4.35,14.67,100,0,0,0,0,0,0,0,100
6067007103,4334,4.3,90367,2.26,2.98,31.1,15.7,0.5,25,0,18.1,9.5,26.4,73.6
6067007105,6852,10.9,91445,2.81,4.76,39.4,12.3,0,29.3,0.5,3.3,15.1,18.3,81.7
6067007106,7097,12,110085,2.85,0,39.8,8.6,1.1,27.2,2.8,6.9,13.5,22.9,77.1
6067007107,4127,11.4,127935,2.81,7.15,39.1,9.2,0.6,38.9,1.2,1.3,9.6,12.8,87.2
6067007108,5703,5.4,124583,3.31,0,28,22.3,0.7,33.8,0,7.7,7.6,17.2,82.8
6067007109,3484,56.8,78684,1.83,8.38,63.3,12.1,0.5,18.4,0,0.6,5.1,4.7,95.3
6067007110,5058,9.5,108596,3.21,3.23,39.5,20.8,1.1,22.6,0,1.9,14.2,16.4,83.6
6067007111,4408,8,144211,3.33,0,39.4,14,0.4,32.6,0,2.5,11.2,17.6,82.4
6067007202,4388,13.6,72849,3.11,0,72,2.7,0.2,11.6,0.8,8.4,4.3,18.4,81.6
6067007204,6084,9.2,75577,3.43,0,48.4,11.6,1.4,18.6,1.4,12.2,6.4,35.3,64.7
6067007206,4171,14.4,95392,3.04,3.93,86.1,1.1,1.7,3.3,0,3,4.8,18.7,81.3
6067007207,4812,9.8,82063,3.31,4.2,77.2,3.4,0.8,4.7,0.8,8,5.2,19.1,80.9
6067007208,4992,12.8,80600,3.36,4.51,73.1,0.9,0,10.6,0,8.4,7.1,24.4,75.6
6067007209,3922,17,85938,2.99,4.35,70.7,1.5,0.3,2.9,0,15.6,9.1,31.2,68.8
6067007301,5022,11.1,43154,2.73,4.51,61.4,13.1,0,5.3,0,7.4,12.9,33.9,66.1
6067007402,7628,15.9,62282,3.11,1.92,66.4,8.3,0.4,5.3,0.3,11,8.2,42.9,57.1
6067007403,4998,13,72875,3.23,4.98,75,5.5,0.5,1.3,0,6.6,11.1,31.8,68.2
6067007413,6652,10.9,52568,3.12,5.4,64.3,10,0,12,0,3.1,10.5,24.4,75.6
6067007414,4757,9.2,66579,3.21,0,55.9,10.2,0.5,8.6,0.1,3.1,21.7,36.6,63.4
6067007415,3169,13.9,71528,2.54,8.35,69.9,15.4,5.2,3.8,0,0.7,5.1,13.3,86.7
6067007416,3867,17.3,54794,2.55,5.14,67.2,11.7,0,2.9,1.3,11.1,5.8,22.5,77.5
6067007417,3303,11,83750,3.21,1.95,61.7,4.3,1.8,16.2,0,5.9,10.1,16.2,83.8
6067007422,2745,7.8,64583,2.98,2.06,67.7,3.8,1.2,2.8,0,10.1,14.4,37.2,62.8
6067007423,6768,7.8,34439,2.87,1.95,43.2,23.8,0.2,17.8,0,7.4,7.5,20.3,79.7
